nome;municipio
Coordenação Regional de Cuiabá;5103403
Coordenação Regional do Tapajós;1503606
Coordenação Regional Roraima I;1400100
Coordenação Regional do Baixo Tocantins;1504208
Coordenação Regional de Cacoal;1100049
Coordenação Regional Interior Sul;4204202
Coordenação Regional Araguaia Tocantins;1721000
Coordenação Regional Kayapó Sul do Pará;1508084
Unidade Técnica Local em Parintins;1303403
Unidade Técnica Local em Manicoré;1302702
Unidade Técnica Local em Nova Olinda do Norte;1303106
Unidade Técnica Local em Nhamundá;1303007
Unidade Técnica Local em Oriximiná;1505304
Unidade Técnica Local em Maués;1302900
Unidade Técnica Local em Glória;2911402
Unidade Técnica Local em Ribeira do Pombal;2902658
Unidade Técnica Local em Ibotirama;2913200
Unidade Técnica Local em Petrolândia;2614808
Unidade Técnica Local em Euclides da Cunha;2910701
Unidade Técnica Local em Rodelas;2927101
Unidade Técnica Local em Autazes;1300300
Unidade Técnica Local em Coari;1302603
Unidade Técnica Local em Manacapuru;1302504
Unidade Técnica Local na Terra Indígena Xapecó;4207684
Unidade Técnica Local em Chapecó;4204202
Unidade Técnica Local em Jacareacanga;1503754
Unidade Técnica Local em Águas Belas;2600500
Unidade Avançada Médio Xingu I;1500602
Unidade Avançada Médio Xingu V;1500602
Unidade Avançada Médio Xingu IV;1500602
Unidade Avançada Médio Xingu II;1500602
Unidade Avançada Médio Xingu III;1500602
Unidade Avançada Waimiri-Atroari I;1303536
Unidade Avançada Waimiri-Atroari II;1302603
Unidade Avançada Waimiri-Atroari III;1302603
Unidade Técnica Local em Natal;2408102
Unidade Técnica Local em Itaituba;1503606
Unidade Técnica Local em Santarém;1506807
Unidade Técnica Local em Juína II;5105150
Unidade Técnica Local em Juína I;5105150
Unidade Técnica Local em Vilhena II;1100304
Unidade Técnica Local em Brasnorte;5101902
Unidade Técnica Local em Itarema;2306553
Unidade Técnica Local em Crateús;2304103
Unidade Técnica Local no Estado do Piauí;2304400
Unidade Técnica Local em Baía da Traição;2501401
Unidade Técnica Local em Conde;2507507
Unidade Avançada Madeira II;1100205
Coordenação Regional Noroeste do Mato Grosso;5105150
Coordenação Regional Ribeirão Cascalheira;5107180
Coordenação Regional de Guajará-Mirim;1100106
Coordenação Regional Alto Purus;1200401
Coordenação Regional Maranhão;2105302
Coordenação Regional Amapá e Norte do Pará;1600303
Coordenação Regional do Vale do Javari;1300201
Coordenação Regional Ponta Porã;5006606
Coordenação Regional Baixo São Francisco;2924009
Coordenação Regional Guarapuava;4109401
Coordenação Regional João Pessoa;2507507
Unidade Técnica Local em Juara;5105101
Unidade Técnica Local em Aripuanã;5101407
Unidade Técnica Local em Cotriguaçu;5105150
