"nome","code_muni","name_muni.x","abbrev_state.x","name_state","longitude","latitude"
"Coordenação Regional de Cacoal",1100049,"Cacoal","RO","Rondônia",-61.2509242257447,-11.2239015
"Coordenação Regional de Guajará-Mirim",1100106,"Guajará-Mirim","RO","Rondônia",-64.4166084466696,-11.3217027
"Coordenação Regional de Ji-Paraná",1100122,"Ji-Paraná","RO","Rondônia",-61.6923785345193,-10.4513235
"Coordenação Regional do Juruá",1200203,"Cruzeiro do Sul","AC","Acre",-72.73152139348,-7.9566909
"Coordenação Regional Alto Purus",1200401,"Rio Branco","AC","Acre",-68.1594847811286,-9.99492435
"Coordenação Regional do Vale do Javari",1300201,"Atalaia do Norte","AM","Amazonas",-71.7268731897521,-5.67295365
"Coordenação Regional Médio Juruá",1301407,"Eirunepé","AM","Amazonas",-70.1187904783002,-7.04111155
"Coordenação Regional Madeira",1301704,"Humaitá","AM","Amazonas",-62.5996929386781,-7.5115705
"Coordenação Regional Médio Purus",1302405,"Lábrea","AM","Amazonas",-65.7110143033187,-8.3817339
"Coordenação Regional de Manaus",1302603,"Manaus","AM","Amazonas",-60.3703488490438,-2.5754933
"Coordenação Regional do Rio Negro",1303809,"São Gabriel da Cachoeira","AM","Amazonas",-68.1678798813506,0.35886285
"Coordenação Regional do Alto Solimões",1304062,"Tabatinga","AM","Amazonas",-69.6988423297127,-4.0348435
"Coordenação Regional Médio Solimões",1304203,"Tefé","AM","Amazonas",-65.5758691879397,-4.41142655
"Coordenação Regional Roraima I",1400100,"Boa Vista","RR","Roraima",-60.7420429675678,3.02211945
"Coordenação Regional Centro Leste do Pará",1500602,"Altamira","PA","Pará",-54.2631542193584,-6.31596955
"Coordenação Regional do Tapajós",1503606,"Itaituba","PA","Pará",-55.9695459048489,-6.03269635
"Coordenação Regional do Baixo Tocantins",1504208,"Marabá","PA","Pará",-49.9444741231497,-5.5247348
"Coordenação Regional Kayapó Sul do Pará",1508084,"Tucumã","PA","Pará",-51.4140696785012,-6.8106258
"Coordenação Regional Amapá e Norte do Pará",1600303,"Macapá","AP","Amapá",-50.9528554290552,0.57160025
"Coordenação Regional Araguaia Tocantins",1721000,"Palmas","TO","Tocantins",-48.110038499875,-10.1869391
"Coordenação Regional Maranhão",2105302,"Imperatriz","MA","Maranhão",-47.576109244905,-5.39055995
"Coordenação Regional Nordeste II",2304400,"Fortaleza","CE","Ceará",-38.5283194211219,-3.79298285
"Coordenação Regional João Pessoa",2507507,"João Pessoa","PB","Paraíba",-34.8537842662826,-7.14888905
"Coordenação Regional Nordeste I",2704302,"Maceió","AL","Alagoas",-35.7084275132877,-9.54369785
"Coordenação Regional Baixo São Francisco",2924009,"Paulo Afonso","BA","Bahia",-38.2533010553001,-9.5324265
"Coordenação Regional Sul da Bahia",2925303,"Porto Seguro","BA","Bahia",-39.2706052277143,-16.63589195
"Coordenação Regional de Minas Gerais e Espírito Santo",3127701,"Governador Valadares","MG","Minas Gerais",-42.013780113061,-18.7950155
"Coordenação Regional Litoral Sudeste",3522109,"Itanhaém","SP","São Paulo",-46.8514922874796,-24.09439565
"Coordenação Regional Guarapuava",4109401,"Guarapuava","PR","Paraná",-51.4712505005596,-25.3260213
"Coordenação Regional Interior Sul",4204202,"Chapecó","SC","Santa Catarina",-52.5955673312254,-27.111551
"Coordenação Regional Litoral Sul",4216602,"São José","SC","Santa Catarina",-48.6710523073008,-27.59015685
"Coordenação Regional Passo Fundo",4314100,"Passo Fundo","RS","Rio Grande do Sul",-52.4778217858202,-28.2661994
"Coordenação Regional Campo Grande",5002704,"Campo Grande","MS","Mato Grosso do Sul",-54.3473710863485,-20.8755138
"Coordenação Regional Dourados",5003702,"Dourados","MS","Mato Grosso do Sul",-54.534394052301,-22.1602659
"Coordenação Regional Ponta Porã",5006606,"Ponta Porã","MS","Mato Grosso do Sul",-55.5302866198598,-22.1996416
"Coordenação Regional Xavante",5101803,"Barra do Garças","MT","Mato Grosso",-52.4638692777906,-15.3574659
"Coordenação Regional Xingu",5102702,"Canarana","MT","Mato Grosso",-52.6266048764403,-13.19233985
"Coordenação Regional Norte do Mato Grosso",5103205,"Colíder","MT","Mato Grosso",-55.4366562134928,-10.5711123
"Coordenação Regional de Cuiabá",5103403,"Cuiabá","MT","Mato Grosso",-55.8842977174862,-15.5312991
"Coordenação Regional Noroeste do Mato Grosso",5105150,"Juína","MT","Mato Grosso",-59.1741951065609,-11.49116545
"Coordenação Regional Ribeirão Cascalheira",5107180,"Ribeirão Cascalheira","MT","Mato Grosso",-51.5786513295311,-12.8762416
"Coordenação Regional Roraima II",5300108,"Brasília","DF","Distrito Federal",-47.7801404155314,-15.77677995
"Coordenação Regional Pernambuco",5300108,"Brasília","DF","Distrito Federal",-47.7801404155314,-15.77677995
